year,cf_po,hamilton_po,hp_po,pfa_po,cf_growth,hamilton_growth,hp_growth,pfa_growth,cf_gap,hamilton_gap,hp_gap,pfa_gap
1980,393979.8,411116.6,395460.1,403587.6,3.166811,2.17523,3.038242,2.752926,-3.811499,-7.820965,-4.171551,-6.10135
1981,409356.7,421696.4,410930.4,418452.4,3.828724,2.540872,3.837399,3.61696,1.861743,-1.118927,1.471651,-0.35237
1982,427855.4,422010.3,428772.3,435172.4,4.419828,0.074426,4.250203,3.917916,1.756999,3.166382,1.539399,0.046048
1983,449030.3,442374.5,448554.4,457149.1,4.830519,4.712704,4.510401,4.926738,-2.646488,-1.181742,-2.543193,-4.375452
1984,472058.6,472717.5,470904,483735.4,5.001278,6.634112,4.862421,5.652834,0.751231,0.610806,0.998278,-1.68077
1985,496030.7,482883.3,494523.7,507427.3,4.953456,2.127709,4.894088,4.781533,1.042418,3.793477,1.350331,-1.226945
1986,520333.9,507253.9,518654.7,527991.8,4.783286,4.923668,4.764335,3.972747,0.720909,3.318073,1.04699,-0.739943
1987,544938.9,542180.5,543547,555567,4.620306,6.658723,4.687769,5.090838,-2.19214,-1.694529,-1.941665,-4.063218
1988,570419.1,568943.1,570450.6,577041.7,4.569763,4.81814,4.831038,3.792533,0.630537,0.891605,0.624988,-0.524382
1989,597673.2,585755.9,598981.5,600625.2,4.667273,2.912275,4.880419,4.005657,0.198155,2.236701,-0.020699,-0.294309
1990,627488.5,615258.2,629286.5,623281,4.868125,4.913891,4.9356,3.702643,-0.139253,1.845807,-0.424581,0.534856
1991,660161.5,650992.6,661506.2,656493.2,5.075917,5.645628,4.993268,5.191477,0.96131,2.383293,0.756076,1.525457
1992,695362.7,680365.5,695320.5,688593.8,5.194904,4.413176,4.985346,4.773921,-0.212015,1.9876,-0.205957,0.768904
1993,732319.4,718590,731206.8,726898.6,5.178322,5.466084,5.032351,5.413542,-1.602962,0.277017,-1.453244,-0.869167
1994,770232,755284.5,769475.6,765733.4,5.047497,4.980352,5.101296,5.204716,1.24311,3.246768,1.342622,1.837896
1995,808691.9,785282.8,808587.5,802912.2,4.872633,3.894948,4.957956,4.741133,-0.227274,2.746931,-0.214384,0.490932
1996,847838.3,834719.9,848479.6,847313.3,4.727192,6.105227,4.815721,5.382507,0.245608,1.821067,0.169841,0.307728
1997,888125.5,880973.7,888779,890423.9,4.642313,5.39316,4.640253,4.962714,0.732921,1.550678,0.658858,0.472911
1998,929820.6,920841.2,929303.8,925469.8,4.587851,4.425979,4.458704,3.860385,-0.953395,0.012434,-0.898313,-0.487761
1999,972539.5,969725.6,970874.4,960242.8,4.491905,5.172554,4.376144,3.688469,-1.058125,-0.771023,-0.888435,0.208905
2000,1015159,1008161,1013008,994974.5,4.288939,3.887007,4.248195,3.553094,0.584802,1.282944,0.798372,2.625263
2001,1056267,1046618,1053633,1031341,3.969651,3.743626,3.932071,3.589805,2.111159,3.052557,2.366431,4.579069
2002,1095019,1103249,1091764,1074387,3.603065,5.269526,3.555005,4.089072,-1.384126,-2.119756,-1.090068,0.509634
2003,1131927,1167871,1130553,1118022,3.314998,5.692294,3.491215,3.981054,-0.836007,-3.887969,-0.715425,0.397345
2004,1169089,1197150,1171588,1156831,3.230321,2.476174,3.565333,3.4123,0.507723,-1.84817,0.29338,1.572776
2005,1209607,1224149,1215293,1191928,3.407026,2.230155,3.66248,2.988768,0.52071,-0.673392,0.05043,2.011683
2006,1256417,1277643,1262735,1240739,3.796863,4.27715,3.829527,4.013559,0.031693,-1.630194,-0.468816,1.295671
2007,1311042,1328953,1315248,1292106,4.255856,3.937444,4.074542,4.056602,-0.865643,-2.201716,-1.182654,0.587221
2008,1372809,1374454,1373344,1347878,4.603678,3.366486,4.322336,4.225843,0.453444,0.333261,0.414324,2.311478
2009,1438953,1421184,1434870,1403315,4.705638,3.343408,4.382559,4.030508,0.180335,1.432859,0.465381,2.724506
2010,1505758,1491215,1498236,1469662,4.538089,4.810075,4.321365,4.619548,0.346696,1.325333,0.850545,2.811308
2011,1570414,1569259,1562705,1546075,4.204248,5.101215,4.213042,5.068718,-0.712604,-0.639537,-0.222848,0.850391
2012,1632713,1643084,1629624,1619943,3.890383,4.597166,4.193101,4.667112,-0.041178,-0.672136,0.148264,0.74681
2013,1695624,1707368,1699966,1684611,3.780774,3.837782,4.225848,3.914395,-0.356881,-1.042277,-0.611377,0.294514
2014,1764295,1776176,1775280,1757632,3.970071,3.950973,4.334987,4.243251,1.521596,0.842535,0.893452,1.906501
2015,1843907,1847873,1855551,1843142,4.413522,3.957234,4.422398,4.750472,1.000629,0.78387,0.3668,1.042522
2016,1937249,1938907,1943491,1933703,4.938226,4.808924,4.630398,4.796494,-3.449494,-3.532047,-3.759596,-3.272449
2017,2042907,2033469,2043495,2041305,5.310508,4.761911,5.017567,5.415241,-0.22373,0.239362,-0.25242,-0.145407
2018,2154732,2073682,2147639,2138502,5.329227,1.958258,4.970772,4.651655,1.808796,5.787966,2.145011,2.581429
2019,2263036,2180608,2245358,2262745,4.904119,5.027796,4.449573,5.647287,3.389535,7.297703,4.203548,3.402844
2020,2357435,2360222,2332173,2381644,4.086684,7.915187,3.793543,5.121245,-3.102332,-3.216754,-2.052729,-4.087286
2021,2430292,2527762,2419148,2487549,3.043719,6.857865,3.661499,4.350669,-2.015376,-5.793653,-1.564,-4.270723
2022,2479119,2565589,2510875,2558748,1.989171,1.485382,3.721586,2.82202,1.662014,-1.764407,0.376248,-1.501744
