year,revenue,tax,non_tax,customs,excise,income_tax,vat,other_tax,cpi,rgdp_pc,rgdp_pc_basic,aid,ngdp,ngdp_basic,rgdp,rgdp_basic,pop,imports,exc,m2,ngdp_pc,exc_direct,credit,agdp_share
1975,1007.7,841.7,166,328.5,119.7,47,206.7,139.8,4.173291876,26044.23138,25457.0464,386.8,16601,16226.71912,349523.1433,341642.9054,13.420367,"1,814.60",10.55,"2,064.40",1209.111429,0.09478673,783.4,71.6
1976,1113.6,908.6,205,358.5,132.1,87.2,181.9,148.9,4.144413432,26360.03306,25556.09642,505.7,17394,16863.51227,361645.5774,350615.9959,13.719466,"1,981.70",12.18,"2,524.00",1229.166811,0.082101806,716.2,69.3
1977,1322.9,1100.1,222.8,386.2,166.1,133.3,247.3,167.2,4.256454639,26039.72567,24910.4267,556.9,17280,16530.59555,365299.203,349456.7928,14.028535,"2,008.00",12.5,"3,223.00",1178.355085,0.08,864.2,63.9
1978,1582.1,1243.9,338.2,458.8,164.4,136.8,306.2,177.7,4.731795437,26256.88694,24951.85441,848.4,19727,18746.51907,376724.7027,358000.5488,14.347653,"2,469.60",12.33,"3,772.10",1306.591334,0.081103001,1071.1,63.1
1979,1811.7,1476.8,334.9,626.7,192.6,103,397.3,157.2,4.894378644,26214.60722,24949.31301,989.38,26128,24866.88604,384750.0075,366179.3704,14.676932,"2,884.70",12,"4,511.40",1694.283658,0.083333333,1331.6,64.3
1980,1890,1538.8,351.2,608,215.2,111.2,443.2,161.2,5.373144525,25236.6172,24062.20522,1340.5,23351,22264.33716,378963.3404,361327.8909,15.016408,"3,480.10",12,"5,285.30",1482.667304,0.083333333,1916.5,61.8
1981,2419.2,2035.7,383.5,815.8,242.2,144,604,229.7,6.092351161,27134.23104,25739.56881,1562.2,27307,25903.45769,416977.9421,395545.8483,15.367229,"4,428.20",12,"6,307.70",1685.629705,0.083333333,2498.1,60.9
1982,2679.5,2211.3,468.2,825.1,305.7,189.7,678.7,212.1,6.727097136,27678.86425,26384.69036,1723.2,30988,29539.10166,435372.7854,415016.1665,15.729431,"4,930.30",13,"7,458.00",1877.951062,0.076923077,2638.2,61.0
1983,2846.6,2426.1,420.5,760.9,365.8,240.1,825.1,234.2,7.680194837,27150.92454,25907.06617,2075.9,33821,32271.56716,437146.8002,417119.9054,16.100623,"6,314.00",13.88,"9,222.40",2004.367605,0.07204611,2699.1,60.3
1984,3409.3,2737,672.3,825.9,432.2,290.9,907.5,280.5,8.159203575,28863.92061,27597.02238,2547.5,39290,37565.4792,475604.9056,454729.6051,16.477488,"6,514.30",15.5,"10,455.20",2279.806193,0.064516129,3174,61.0
1985,3916.8,3151.2,765.6,1064.5,483.9,307.3,1012.6,282.9,8.497222638,29730.21942,28488.90925,2678.3,46587,44641.87756,501201.404,480275.0062,16.858315,"7,742.10",17.93,"12,296.60",2648.062844,0.055772448,4036.6,51.2
1986,4644.5,3659.3,985.2,1231,558.7,364.4,1173,332.2,9.843597773,30399.93174,29168.87956,3674,55734,53477.03894,524085.004,502862.062,17.239677,"9,341.20",19.95,"15,159.00",3101.974529,0.050125313,5167.9,51.0
1987,5973.4,4371.7,1601.7,1505.1,678.6,437.5,1363,387.5,11.15003683,30242.98178,28995.79146,3990.9,63864,61230.31252,532993.1472,511013.043,17.623697,"10,905.20",21.69,"17,498.20",3474.317138,0.046104195,6132.5,50.1
1988,7350.4,5752.8,1597.6,2214.6,825.3,579,1612.5,521.4,12.35317502,31853.03793,30335.09469,5892.6,76906,73241.07665,574015.7925,546661.3094,18.020755,"13,869.60",22.21,"21,422.60",4064.262383,0.045024764,7947.1,50.2
1989,7780.7,6287.2,1493.5,2289.9,877.7,861.1,1698.9,559.6,13.38025943,32467.16079,31173.65871,7347,89270,85713.45463,598857.4626,574998.7896,18.445021,"16,263.70",25.63,"26,605.10",4646.96975,0.039016777,10357,49.6
